id,grp,cycle_time_days,created_date
5052,0,-1,2015-02-05
326,0,-1,2013-12-25
5056,0,-1,2015-10-16
324,0,18,2013-08-13
325,0,-1,2013-12-25
322,0,1,2014-09-17
323,0,-1,2013-10-19
320,0,1,2013-07-23
319,0,2,2013-07-27
317,0,66,2013-07-16
318,0,57,2013-07-18
313,0,53,2013-07-18
5066,0,1,2015-02-17
5065,0,-1,2015-04-18
312,0,20,2013-07-16
5059,0,1,2015-02-08
5058,0,1,2015-02-10
308,0,3,2013-08-18
6362,0,4,2015-07-23
5034,0,1,2015-02-19
302,0,171,2013-07-26
303,0,72,2013-07-14
301,0,9,2013-08-13
7686,0,1,2016-04-28
7687,0,233,2017-03-21
7688,0,61,2016-04-24
7689,0,-1,2016-11-09
5040,0,2,2015-02-04
5045,0,2,2015-02-04
6369,0,10,2015-07-06
5096,0,-1,2015-05-09
5095,0,-1,2015-05-09
5094,0,4,2015-03-02
5093,0,1,2015-02-15
369,0,26,2013-09-15
5099,0,10,2015-02-14
366,0,238,2013-09-27
367,0,-1,2013-12-06
364,0,173,2013-09-11
365,0,6,2013-12-07
363,0,14,2013-09-03
360,0,-1,2014-12-21
361,0,15,2013-09-17
357,0,15,2013-08-27
358,0,15,2013-08-27
355,0,1,2013-08-19
353,0,8,2013-08-26
354,0,-1,2013-08-19
352,0,-1,2013-10-19
5070,0,1,2015-05-01
5073,0,10,2015-02-12
349,0,69,2013-12-27
5071,0,-1,2015-05-01
346,0,-1,2013-08-08
347,0,4,2013-08-12
5077,0,3,2015-02-13
5076,0,2,2015-02-15
344,0,35,2013-08-07
345,0,165,2014-04-17
343,0,26,2013-09-06
335,0,-1,2013-07-30
336,0,1,2013-10-17
333,0,38,2013-09-27
334,0,114,2013-08-23
285,0,240,2013-08-14
7741,0,2,2016-05-24
7743,0,15,2016-05-27
7744,0,2,2016-05-27
6413,0,9,2015-07-12
6431,0,6,2015-07-22
5100,0,5,2015-02-14
6425,0,4,2015-07-13
6427,0,-1,2015-12-27
6422,0,6,2015-07-18
6423,0,1,2015-07-21
263,0,-1,2014-03-07
262,0,65,2013-07-06
7727,0,106,2016-06-03
7734,0,16,2016-05-09
254,0,-1,2013-03-01
7735,0,-1,2016-05-13
252,0,33,2013-08-17
253,0,171,2013-07-14
7739,0,-1,2016-10-23
7792,0,1,2016-06-23
7790,0,1,2016-06-21
7789,0,1,2016-06-20
7788,0,1,2016-06-20
6472,0,2,2015-07-28
6470,0,-1,2015-07-22
6471,0,3,2015-07-26
7797,0,1,2016-07-06
7799,0,-1,2016-09-06
6440,0,4,2015-07-20
6441,0,2,2015-07-18
6442,0,1,2015-07-16
5111,0,-1,2015-05-20
5110,0,-1,2015-02-16
5104,0,-1,2015-05-10
5103,0,-1,2015-02-14
5102,0,-1,2015-02-14
6439,0,-1,2015-08-26
5101,0,-1,2015-02-14
6432,0,3,2015-07-26
5108,0,1,2015-04-28
6433,0,4,2015-07-28
5107,0,-1,2015-04-11
6434,0,4,2015-08-03
5106,0,-1,2015-04-11
5105,0,-1,2015-05-10
5109,0,-1,2015-04-11
296,0,45,2013-11-19
6445,0,1,2015-07-18
292,0,278,2013-11-07
6446,0,9,2015-07-18
290,0,11,2013-06-28
291,0,-1,2015-08-07
7712,0,-1,2016-11-03
7714,0,-1,2016-04-26
7715,0,-1,2016-11-16
7716,0,158,2016-05-19
7717,0,158,2016-05-19
7718,0,-1,2016-07-01
409,0,42,2013-09-28
407,0,6,2013-09-21
408,0,6,2013-09-23
7594,0,16,2016-02-22
7595,0,9,2016-02-22
447,0,-1,2013-10-02
7597,0,8,2016-02-26
441,0,1,2013-10-02
7587,0,-1,2016-02-16
6258,0,4,2015-07-04
435,0,-1,2014-01-06
7598,0,10,2016-03-01
6267,0,4,2015-06-22
7599,0,10,2016-03-05
6268,0,4,2015-08-25
429,0,2,2013-09-29
427,0,-1,2013-12-06
425,0,25,2013-09-28
426,0,12,2013-09-28
423,0,11,2013-10-12
424,0,24,2013-09-27
6234,0,10,2015-06-19
6235,0,13,2015-06-17
7583,0,5,2016-02-15
7586,0,1,2016-02-16
7580,0,42,2016-03-10
413,0,-1,2013-09-23
7581,0,226,2016-03-10
410,0,46,2014-04-30
7576,0,1,2016-02-21
7578,0,1,2016-03-02
7579,0,226,2016-03-10
484,0,2,2013-10-10
481,0,-1,2013-10-05
482,0,-1,2014-05-03
480,0,-1,2013-10-07
478,0,15,2013-10-09
479,0,28,2013-10-13
477,0,-1,2013-10-09
473,0,8,2013-10-04
471,0,4,2013-12-16
465,0,-1,2013-02-04
6284,0,1,2015-06-23
466,0,42,2013-10-01
464,0,1,2014-02-28
461,0,-1,2014-02-11
462,0,-1,2013-10-02
6278,0,7,2015-06-21
459,0,35,2013-10-20
457,0,-1,2013-09-30
452,0,28,2013-10-04
453,0,3,2013-10-02
451,0,-1,2013-10-12
6289,0,-1,2015-12-12
7630,0,2,2016-04-14
7624,0,-1,2016-06-10
7625,0,10,2016-03-14
7626,0,21,2016-06-30
7627,0,4,2016-03-16
7621,0,2,2016-03-23
7623,0,158,2016-04-06
7628,0,1,2016-05-01
7629,0,103,2016-03-20
7641,0,4,2016-03-15
397,0,-1,2013-05-23
398,0,-1,2013-09-25
7637,0,-1,2016-03-08
7631,0,-1,2016-04-02
393,0,31,2013-10-30
7632,0,1,2016-03-04
394,0,1,2013-09-18
391,0,-1,2013-12-12
392,0,33,2013-09-18
390,0,-1,2013-11-30
389,0,39,2013-09-12
7602,0,9,2016-03-17
7603,0,9,2016-03-21
7604,0,5,2016-03-27
7605,0,8,2016-03-29
382,0,-1,2013-11-02
7600,0,-1,2016-03-13
7601,0,10,2016-03-13
7606,0,7,2016-04-02
7607,0,10,2016-04-06
7608,0,10,2016-04-10
7609,0,9,2016-04-14
7610,0,5,2016-04-20
7671,0,-1,2016-10-13
6340,0,2,2015-06-25
7672,0,-1,2016-10-13
6341,0,1,2015-06-30
7670,0,66,2016-12-18
7668,0,66,2016-12-17
6337,0,8,2015-06-28
7669,0,-1,2016-07-24
6338,0,-1,2015-06-23
6339,0,-1,2015-06-23
7664,0,5,2016-03-30
7667,0,58,2016-04-03
6336,0,5,2015-06-29
7682,0,-1,2016-08-05
7683,0,66,2016-12-06
7684,0,-1,2016-07-26
7681,0,4,2016-05-09
6350,0,15,2016-06-27
6348,0,1,2015-07-14
6349,0,6,2015-06-29
6345,0,4,2015-06-30
6346,0,-1,2015-10-04
6347,0,7,2015-07-10
7642,0,4,2016-04-20
7660,0,9,2016-03-21
7661,0,28,2016-03-27
7662,0,28,2016-04-02
7663,0,11,2016-04-21
7657,0,-1,2016-04-14
7658,0,11,2016-03-27
6327,0,6,2015-06-22
7659,0,16,2016-04-02
5297,0,4,2015-02-28
5273,0,7,2015-02-27
5269,0,22,2015-02-24
5283,0,6,2015-02-28
117,0,73,2013-08-26
115,0,-1,2013-05-14
113,0,39,2013-08-14
114,0,13,2013-05-31
109,0,-1,2013-06-24
107,0,38,2013-05-18
100,0,-1,2013-07-11
101,0,-1,2013-11-06
7990,0,4,2016-09-24
7991,0,6,2016-09-22
7992,0,3,2016-09-28
6661,0,8,2015-08-30
5331,0,4,2015-03-25
5330,0,-1,2015-05-24
7987,0,1,2016-09-24
6656,0,1,2015-08-24
7988,0,10,2016-09-10
6657,0,3,2015-09-15
7989,0,7,2016-09-14
5322,0,-1,2015-03-13
5321,0,1,2015-03-25
5328,0,1,2015-03-19
5327,0,5,2015-03-17
5326,0,3,2015-03-14
7986,0,1,2016-09-22
6655,0,1,2015-08-24
5325,0,11,2015-03-25
5329,0,-1,2015-03-23
6670,0,74,2015-08-24
5342,0,9,2015-03-14
5341,0,9,2015-03-10
5333,0,1,2015-03-23
5332,0,7,2015-03-25
7995,0,1,2016-09-19
7996,0,15,2016-10-15
5301,0,10,2015-02-28
7967,0,16,2016-09-22
6637,0,-1,2015-08-19
5306,0,8,2015-03-02
5307,0,3,2015-03-09
6650,0,1,2015-08-23
5320,0,-1,2015-03-10
6645,0,1,2015-08-22
6646,0,7,2015-09-20
6647,0,15,2015-08-23
6643,0,1,2015-08-22
6644,0,1,2015-08-20
6649,0,1,2015-10-08
5375,0,2,2015-03-20
4037,0,-1,2015-01-24
4036,0,3,2014-10-18
4035,0,-1,2015-01-13
5365,0,-1,2015-03-21
6697,0,-1,2015-08-26
4039,0,7,2014-10-18
4038,0,-1,2015-01-13
5380,0,-1,2015-05-25
5385,0,-1,2015-05-31
4053,0,1,2014-10-15
5379,0,-1,2015-03-19
5377,0,9,2015-03-16
6680,0,1,2015-08-25
6678,0,10,2015-08-27
6679,0,-1,2015-08-27
5345,0,17,2015-03-26
5344,0,10,2015-03-22
5343,0,9,2015-03-18
6677,0,3,2015-08-29
4016,0,4,2014-11-10
5357,0,-1,2015-03-17
5356,0,-1,2015-03-11
5359,0,1,2015-03-16
5358,0,21,2015-03-25
7902,0,6,2016-09-02
7907,0,2,2016-08-28
7908,0,6,2016-08-26
7909,0,-1,2016-10-26
7905,0,-1,2016-11-14
7906,0,-1,2016-08-26
7910,0,6,2016-09-10
6613,0,-1,2015-08-14
6611,0,1,2015-09-07
7948,0,-1,2016-09-20
7929,0,2,2016-09-14
6604,0,9,2015-08-21
207,0,-1,2013-01-31
208,0,-1,2013-03-13
205,0,-1,2013-09-13
206,0,8,2013-08-03
203,0,-1,2012-12-26
204,0,-1,2013-03-28
201,0,-1,2013-06-13
202,0,-1,2012-12-20
200,0,-1,2013-06-17
6499,0,1,2015-08-01
6485,0,1,2015-08-02
5158,0,5,2015-02-16
5156,0,6,2015-02-16
6488,0,2,2015-08-06
247,0,-1,2013-06-17
248,0,-1,2013-09-24
245,0,2,2013-10-23
246,0,-1,2014-02-26
243,0,145,2014-05-27
244,0,393,2015-01-30
240,0,80,2013-06-24
238,0,-1,2013-06-17
239,0,13,2013-06-19
232,0,39,2013-12-27
231,0,45,2014-01-03
220,0,-1,2013-11-19
219,0,-1,2015-08-31
215,0,-1,2013-06-03
167,0,62,2013-06-28
162,0,31,2013-05-29
163,0,-1,2013-05-19
160,0,-1,2013-05-19
